artist_0,artist_1,genre_0,genre_1,style_0,style_1,style_2,style_3,title,duration,publishing_year,publishing_country,score,audio_source
DJ Beusta,DJ Trebluf,Electronic,,Ghetto House,House,,,A Jazzy Thing,,Sep 2015,France,4.57,https://www.youtube.com/watch?v=_WU1pRsKhDI
DJ Beusta,DJ Trebluf,Electronic,,Ghetto House,House,,,Sunday Afternoon,,Sep 2015,France,4.57,https://www.youtube.com/watch?v=n0qzYOmd8sU
DJ Beusta,DJ Trebluf,Electronic,,Ghetto House,House,,,Untitled #02,,Sep 2015,France,4.57,https://www.youtube.com/watch?v=q8b6D_aEY08
Mystik Menn,,Electronic,,House,Ghetto House,,,Fiedel's Jam,,2017,Australia,4.6,https://www.youtube.com/watch?v=obpE1RLJH4c
Mystik Menn,,Electronic,,House,Ghetto House,,,Get Tha O,,2017,Australia,4.6,https://www.youtube.com/watch?v=RAz2rPgdLC8
Mystik Menn,,Electronic,,House,Ghetto House,,,Fantastic Jam,,2017,Australia,4.6,https://www.youtube.com/watch?v=auJldP4vnSQ
Mystik Menn,,Electronic,,House,Ghetto House,,,Work It Right,,2017,Australia,4.6,https://www.youtube.com/watch?v=gH5Kxykr354
Ari Jukka,,Electronic,,House,Ghetto House,,,Get Up 'N' Move,,1996,Sweden,4.12,https://www.youtube.com/watch?v=T7RMIfrz31I
Ari Jukka,,Electronic,,House,Ghetto House,,,I Can Do Anything,,1996,Sweden,4.12,https://www.youtube.com/watch?v=RTFOfX2ciwU
Ari Jukka,,Electronic,,House,Ghetto House,,,Let The Music Take Control,,1996,Sweden,4.12,https://www.youtube.com/watch?v=DFgRbo5QHdk
Ari Jukka,,Electronic,,House,Ghetto House,,,Pump It Freaking Style,,1996,Sweden,4.12,https://www.youtube.com/watch?v=9E1LN-Jb7-w
Ari Jukka,,Electronic,,House,Ghetto House,,,Twist Your Ass Like To Chicago,,1996,Sweden,4.12,https://www.youtube.com/watch?v=aa6dCRaF6Y4
Paul Johnson,,Electronic,,House,Ghetto House,,,Feel My M.F. Bass,,2014,US,4.25,https://www.youtube.com/watch?v=7U_BUIT1axg
